price,predicted_price,difference,link,source
1218000.0,790067.1118111891,427932.8881888109,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22990443,Property Guru
1218000.0,790067.1118111891,427932.8881888109,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22812563,Property Guru
970000.0,545179.8894613304,424820.1105386696,https://www.propertyguru.com.sg/listing/hdb-for-sale-243-pasir-ris-street-21-22399433,Property Guru
780000.0,358271.1006768392,421728.8993231608,https://www.99.co/singapore/sale/property/632-veerasamy-road-hdb-L8bUJvWp7pvF5w7fkKHSN6?enquiry_position=1371&enquiry_source=Search,Co 99
770000.0,351427.8317493699,418572.1682506301,https://www.99.co/singapore/sale/property/151-tampines-street-12-hdb-qjgidSGynWgbD46XJE4kjG?enquiry_position=1970&enquiry_source=Search,Co 99
770000.0,351427.8317493699,418572.1682506301,https://www.99.co/singapore/sale/property/151-tampines-street-12-hdb-ATdGxSJKun6XqK2FsErKU?enquiry_position=2803&enquiry_source=Search,Co 99
1230000.0,811743.7083556879,418256.2916443121,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22970658,Property Guru
890000.0,476442.53932223737,413557.46067776263,https://www.99.co/singapore/sale/property/596b-ang-mo-kio-street-52-hdb-bB5FTcrfvoR6v9HzGHYJLN?enquiry_position=3531&enquiry_source=Search,Co 99
1200000.0,787186.2197177078,412813.78028229217,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-21683380,Property Guru
1200000.0,787186.2197177078,412813.78028229217,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22488546,Property Guru
780000.0,372781.2220851968,407218.7779148032,https://www.99.co/singapore/sale/property/636-bedok-reservoir-road-hdb-C7QJ2gSkM6d8mDpvMLDUVL?enquiry_position=1632&enquiry_source=Search,Co 99
770000.0,363318.6781287154,406681.3218712846,https://www.99.co/singapore/sale/property/454-tampines-street-42-hdb-3S6cGoSaPuexTtDaxZngPZ?enquiry_position=523&enquiry_source=Search,Co 99
880000.0,476341.3212186053,403658.6787813947,https://www.99.co/singapore/sale/property/61-jalan-tenteram-hdb-3sAMx4krV2xTEXdYBsopQK?enquiry_position=4041&enquiry_source=Search,Co 99
1188888.0,787186.2197177078,401701.78028229217,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22268338,Property Guru
838000.0,436882.8099039385,401117.1900960615,https://www.99.co/singapore/sale/property/210-bishan-street-23-hdb-mk8vhomC5hQAG8MrNdvwRL?enquiry_position=2732&enquiry_source=Search,Co 99
1199999.0,801746.726945337,398252.273054663,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22924974,Property Guru
880000.0,482413.84029900096,397586.15970099904,https://www.propertyguru.com.sg/listing/hdb-for-sale-61-jalan-tenteram-22952053,Property Guru
880000.0,482413.84029900096,397586.15970099904,https://www.propertyguru.com.sg/listing/hdb-for-sale-61-jalan-tenteram-22772037,Property Guru
1280000.0,884642.4819514219,395357.51804857806,https://www.propertyguru.com.sg/listing/hdb-for-sale-127d-kim-tian-road-22171520,Property Guru
1280000.0,884642.4819514219,395357.51804857806,https://www.propertyguru.com.sg/listing/hdb-for-sale-127d-kim-tian-road-22997298,Property Guru
1280000.0,884642.4819514219,395357.51804857806,https://www.propertyguru.com.sg/listing/hdb-for-sale-127d-kim-tian-road-22998872,Property Guru
1300000.0,907414.8969721984,392585.1030278016,https://www.propertyguru.com.sg/listing/hdb-for-sale-88-dawson-road-22970329,Property Guru
745000.0,358948.59462304396,386051.40537695604,https://www.99.co/singapore/sale/property/5-simei-street-3-hdb-Pc4ofERVTR4Rd7jYGvPutF?enquiry_position=6237&enquiry_source=Search,Co 99
1200000.0,816414.5093080496,383585.4906919504,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22406680,Property Guru
1149000.0,770508.5031905681,378491.49680943193,https://www.propertyguru.com.sg/listing/hdb-for-sale-43-moh-guan-terrace-22906939,Property Guru
1088000.0,711997.4003200795,376002.5996799205,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22767227,Property Guru
1088000.0,711997.4003200795,376002.5996799205,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22767043,Property Guru
1200000.0,827936.7877259355,372063.21227406454,https://www.propertyguru.com.sg/listing/hdb-for-sale-7-kim-tian-place-21609212,Property Guru
