address,link,price,bedrooms,bathrooms,floor_area,year_built,date_scraped
601 Jurong West Street 62,https://www.99.co/singapore/sale/property/601-jurong-west-street-62-hdb-vsWwprYPU2GJhj8i7nVW4H?enquiry_position=74&enquiry_source=Search,"$538,888",3,2,115.01,2001,2020-07-18 17:01:43.228176
335A Anchorvale Crescent,https://www.99.co/singapore/sale/property/335a-anchorvale-crescent-hdb-fPqy64v2dvCwVBtGXmQfFH?enquiry_position=75&enquiry_source=Search,"$600,000",4,2,111.01,2015,2020-07-18 17:01:43.228176
90 Tanglin Halt Road,https://www.99.co/singapore/sale/property/90-tanglin-halt-road-hdb-Q4YLMHGPgtDvjUGiMgHPPd?enquiry_position=76&enquiry_source=Search,"$898,000",3,2,89.93,2008,2020-07-18 17:01:43.228176
468B Fernvale Link,https://www.99.co/singapore/sale/property/468b-fernvale-link-hdb-jedhhS7uvYxAGKnKf6BGNg?enquiry_position=77&enquiry_source=Search,"$550,000",3,2,112.97,,2020-07-18 17:01:43.228176
154 Rivervale Crescent,https://www.99.co/singapore/sale/property/154-rivervale-crescent-hdb-YNMSZfVsXiN4cMZfYvTpd5?enquiry_position=78&enquiry_source=Search,"$385,000",3,2,90.95,2005,2020-07-18 17:01:43.228176
10A Boon Tiong Road,https://www.99.co/singapore/sale/property/10a-boon-tiong-road-hdb-wcMRgwZzhWM3HXP6AEFV9f?enquiry_position=79&enquiry_source=Search,"$960,000",3,2,91.97,,2020-07-18 17:01:43.228176
39 Cambridge Road,https://www.99.co/singapore/sale/property/39-cambridge-road-hdb-eGXpyjoGNLLfE2hNGq9g5B?enquiry_position=80&enquiry_source=Search,"$668,888",3,2,120.95,1997,2020-07-18 17:01:43.228176
311B Clementi Avenue 4,https://www.99.co/singapore/sale/property/311b-clementi-avenue-4-hdb-dAnRsk8wW7BsoKtn8LMfFn?enquiry_position=81&enquiry_source=Search,"$788,000",3,2,81.94,2014,2020-07-18 17:01:43.228176
110B Punggol Field,https://www.99.co/singapore/sale/property/110b-punggol-field-hdb-bCeQK8pLf822pGa3Ec4dz5?enquiry_position=82&enquiry_source=Search,"$475,000",3,2,109.99,2003,2020-07-18 17:01:43.228176
881 Tampines Street 84,https://www.99.co/singapore/sale/property/881-tampines-street-84-hdb-EQiLnY73dgsyCdqXCu8UW3?enquiry_position=83&enquiry_source=Search,"$333,000",2,2,72.92,1988,2020-07-18 17:01:43.228176
168A Queensway,https://www.99.co/singapore/sale/property/168a-queensway-hdb-YT2gAchsCMfkeY5urJcKZE?enquiry_position=84&enquiry_source=Search,"$409,000",3,1,83.98,1974,2020-07-18 17:01:43.228176
524A Pasir Ris Street 51,https://www.99.co/singapore/sale/property/524a-pasir-ris-street-51-hdb-ebhCDASURPYfRPpFj5G7tH?enquiry_position=85&enquiry_source=Search,"$640,000",3,2,112.97,2015,2020-07-18 17:01:43.228176
2 Holland Avenue,https://www.99.co/singapore/sale/property/2-holland-avenue-hdb-KqLW3PzuncyVuWh5CQ5gCC?enquiry_position=86&enquiry_source=Search,"$418,000",2,1,65.03,1974,2020-07-18 17:01:43.228176
