No of bedrooms,No of bathrooms,floor_area_sqm,remaining_lease,LAT,LON,distance_to_primary_school,distance_to_seconday_school,distance_to_junior_college,distance_to_polytechnic,distance_to_mrt_lrt,distance_to_preschool,price,link
3.0,2,83.98,64,1.34780072,103.8493161,0.19551786340742777,0.3738411204944857,0.8810297396231034,3.2500108657485196,0.3510753756197774,0.20857324361360272,518000.0,https://www.99.co/singapore/sale/property/116-bishan-street-12-hdb-JDmUibA7HNKXB6nfDqer8D?enquiry_position=67&enquiry_source=Search
4.0,2,127.92,80,1.389672461,103.8886142,0.18684507942917727,0.2157370098388799,4.901051517547718,4.384792302727334,0.3100319413121333,0.2621396167073235,569000.0,https://www.99.co/singapore/sale/property/306b-anchorvale-link-hdb-dLKvmknCGFgqf8dxLFpro7?enquiry_position=68&enquiry_source=Search
2.0,2,58.99,56,1.275236831,103.8426053,0.2997067552019146,1.3840531994633665,5.548347508963172,7.628797916507641,0.3587335756079637,0.22285736139342022,495000.0,https://www.99.co/singapore/sale/property/2-tanjong-pagar-plaza-hdb-SCrkEGNnKFgAvCCboXoSf3?enquiry_position=69&enquiry_source=Search
3.0,2,91.97,94,1.404939601,103.8980368,0.2357558862340814,0.6988200945561754,5.396951744724239,5.878686418937081,0.09328684445101586,0.2863313544626819,528000.0,https://www.99.co/singapore/sale/property/266d-punggol-way-hdb-fKwckmAj3Q9YM27np2QnFY?enquiry_position=70&enquiry_source=Search
2.0,2,89.0,57,1.372579625,103.8362208,0.3914702412601607,0.47967534070987616,1.2215601914151475,1.4762389790869879,0.12999576404748,0.23666731547300857,350000.0,https://www.99.co/singapore/sale/property/114-ang-mo-kio-avenue-4-hdb-MdAUQFsZjrkjob4HmTZLKm?enquiry_position=71&enquiry_source=Search
3.0,2,115.01,80,1.339661774,103.7001378,0.14568249501309286,0.43260023887876903,7.79361716291384,7.976874995801407,0.36337958375803064,0.29154176988645014,538888.0,https://www.99.co/singapore/sale/property/601-jurong-west-street-62-hdb-vsWwprYPU2GJhj8i7nVW4H?enquiry_position=74&enquiry_source=Search
4.0,2,111.01,94,1.398358283,103.8890744,0.38896171214739145,1.083753019599116,5.249198595443436,4.679744128799942,0.13456912436553214,0.21161832628795643,600000.0,https://www.99.co/singapore/sale/property/335a-anchorvale-crescent-hdb-fPqy64v2dvCwVBtGXmQfFH?enquiry_position=75&enquiry_source=Search
3.0,2,89.93,87,1.300517009,103.7989763,0.13502525758586853,0.3054441273673182,1.5552840833239199,2.02884622810212,0.22762413031984957,0.1950047787078792,898000.0,https://www.99.co/singapore/sale/property/90-tanglin-halt-road-hdb-Q4YLMHGPgtDvjUGiMgHPPd?enquiry_position=76&enquiry_source=Search
3.0,2,90.95,84,1.391035892,103.9069091,0.3727575275097231,0.8667817656426479,3.7590361488249253,5.376581352392199,0.11457936294648927,0.15695221599654244,385000.0,https://www.99.co/singapore/sale/property/154-rivervale-crescent-hdb-YNMSZfVsXiN4cMZfYvTpd5?enquiry_position=78&enquiry_source=Search
3.0,2,120.95,76,1.316338073,103.8484685,0.5049402320577551,1.6666438664693377,1.7513245245251385,6.749441421144875,0.6867147678406962,0.4453245461027288,668888.0,https://www.99.co/singapore/sale/property/39-cambridge-road-hdb-eGXpyjoGNLLfE2hNGq9g5B?enquiry_position=80&enquiry_source=Search
3.0,2,81.94,93,1.319446691,103.7656494,0.3677367051891608,0.5938024593485669,2.39670241192593,1.2328453875440653,0.47244176280213157,0.248974237866889,788000.0,https://www.99.co/singapore/sale/property/311b-clementi-avenue-4-hdb-dAnRsk8wW7BsoKtn8LMfFn?enquiry_position=81&enquiry_source=Search
3.0,2,109.99,82,1.395660239,103.909627,0.33696963589410983,0.28178517945272497,3.7499599148018588,5.720000967193921,0.15822541451072236,0.20780270175474638,475000.0,https://www.99.co/singapore/sale/property/110b-punggol-field-hdb-bCeQK8pLf822pGa3Ec4dz5?enquiry_position=82&enquiry_source=Search
2.0,2,72.92,67,1.352311805,103.9327843,0.54984981345093,0.13402283080840185,2.767750919175935,0.6301798993433483,0.9828486109790341,0.22793333260816684,333000.0,https://www.99.co/singapore/sale/property/881-tampines-street-84-hdb-EQiLnY73dgsyCdqXCu8UW3?enquiry_position=83&enquiry_source=Search
