address,link,price,bedrooms,bathrooms,floor_area,list_date,year_built,date_scraped
747A Bedok Reservoir Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-747a-bedok-reservoir-crescent-22949686,"808,000",3 ,2 ,1130,28m,2014,2020-07-15 17:14:41.615238
705 Hougang Avenue 2,https://www.propertyguru.com.sg/listing/hdb-for-sale-705-hougang-avenue-2-22017159,"648,000",4 ,2 ,1657,28m,1985,2020-07-15 17:14:41.615238
310B Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-310b-punggol-walk-22529384,"558,000",3 ,2 ,990,29m,2015,2020-07-15 17:14:41.615238
266D Punggol Way,https://www.propertyguru.com.sg/listing/hdb-for-sale-266d-punggol-way-22619945,"528,000",3 ,2 ,990,33m,2014,2020-07-15 17:14:41.615238
533 Serangoon North Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-533-serangoon-north-avenue-4-22947176,"520,000",3 ,2 ,1313,33m,1990,2020-07-15 17:14:41.615238
664A Punggol Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-664a-punggol-drive-22654080,"365,000",2 ,2 ,732,35m,2015,2020-07-15 17:14:41.615238
290B Bukit Batok Street 24,https://www.propertyguru.com.sg/listing/hdb-for-sale-290b-bukit-batok-street-24-21838127,"560,000",4 ,2 ,1528,36m,1996,2020-07-15 17:14:41.615238
673B Edgefield Plains,https://www.propertyguru.com.sg/listing/hdb-for-sale-673b-edgefield-plains-22959907,"500,000",3 ,2 ,969,38m,2015,2020-07-15 17:14:41.615238
533 Serangoon North Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-533-serangoon-north-avenue-4-22977900,"520,000",3 ,2 ,1313,38m,1990,2020-07-15 17:14:41.615238
161 Mei Ling Street,https://www.propertyguru.com.sg/listing/hdb-for-sale-161-mei-ling-street-22512716,"318,000",2 ,1 ,775,39m,1970,2020-07-15 17:14:41.615238
310C Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-310c-punggol-walk-22918702,"655,876",3 ,2 ,1206,39m,2015,2020-07-15 17:14:41.615238
722 Woodlands Avenue 6,https://www.propertyguru.com.sg/listing/hdb-for-sale-722-woodlands-avenue-6-22959217,"368,000",3 ,2 ,1098,40m,1996,2020-07-15 17:14:41.615238
192 Bukit Batok West Avenue 6,https://www.propertyguru.com.sg/listing/hdb-for-sale-192-bukit-batok-west-avenue-6-22911700,"490,000",3 ,2 ,1076,40m,1995,2020-07-15 17:14:41.615238
60 Dakota Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-60-dakota-crescent-23002426,"838,000",3 ,2 ,1194,41m,1982,2020-07-15 17:14:41.615238
183C Rivervale Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-183c-rivervale-crescent-22272140,"440,000",3 ,2 ,1184,41m,2001,2020-07-15 17:14:41.615238
53 Geylang Bahru,https://www.propertyguru.com.sg/listing/hdb-for-sale-53-geylang-bahru-22084067,"610,000",3 ,2 ,1259,42m,1974,2020-07-15 17:14:41.615238
